house_id,price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
M000,13300000,7420,4,2,3,yes,no,no,no,yes,2,yes,furnished
M001,12250000,8960,4,4,4,yes,no,no,no,yes,3,no,furnished
M002,12250000,9960,3,2,2,yes,no,yes,no,no,2,yes,semi-furnished
M003,12215000,7500,4,2,2,yes,no,yes,no,yes,3,yes,furnished
M004,11410000,7420,4,1,2,yes,yes,yes,no,yes,2,no,furnished
M005,10850000,7500,3,3,1,yes,no,yes,no,yes,2,yes,semi-furnished
M006,10150000,8580,4,3,4,yes,no,no,no,yes,2,yes,semi-furnished
M007,10150000,16200,5,3,2,yes,no,no,no,no,0,no,unfurnished
M008,9870000,8100,4,1,2,yes,yes,yes,no,yes,2,yes,furnished
M009,9800000,5750,3,2,4,yes,yes,no,no,yes,1,yes,unfurnished
M010,9800000,13200,3,1,2,yes,no,yes,no,yes,2,yes,furnished
M011,9681000,6000,4,3,2,yes,yes,yes,yes,no,2,no,semi-furnished
M012,9310000,6550,4,2,2,yes,no,no,no,yes,1,yes,semi-furnished
M013,9240000,3500,4,2,2,yes,no,no,yes,no,2,no,furnished
M014,9240000,7800,3,2,2,yes,no,no,no,no,0,yes,semi-furnished
M015,9100000,6000,4,1,2,yes,no,yes,no,no,2,no,semi-furnished
M016,9100000,6600,4,2,2,yes,yes,yes,no,yes,1,yes,unfurnished
M017,8960000,8500,3,2,4,yes,no,no,no,yes,2,no,furnished
M018,8890000,4600,3,2,2,yes,yes,no,no,yes,2,no,furnished
M019,8855000,6420,3,2,2,yes,no,no,no,yes,1,yes,semi-furnished
M020,8750000,4320,3,1,2,yes,no,yes,yes,no,2,no,semi-furnished
M021,8680000,7155,3,2,1,yes,yes,yes,no,yes,2,no,unfurnished
M022,8645000,8050,3,1,1,yes,yes,yes,no,yes,1,no,furnished
M023,8645000,4560,3,2,2,yes,yes,yes,no,yes,1,no,furnished
M024,8575000,8800,3,2,2,yes,no,no,no,yes,2,no,furnished
M025,8540000,6540,4,2,2,yes,yes,yes,no,yes,2,yes,furnished
M026,8463000,6000,3,2,4,yes,yes,yes,no,yes,0,yes,semi-furnished
